# Generated by: CFG Studio 2.0.380
# Generated on: 2023-10-07 14:21:41
# File format: GTA3/VC/SA *.dat
#
# Melee data:
£ UNARMED MELEE 10.0 1.6 -1 -1 0 UNARMED 4 1 null
£ BRASSKNUCKLE MELEE 10.0 1.6 331 -1 0 UNARMED 4 1 null
£ GOLFCLUB MELEE 10.0 1.6 333 -1 1 BBALLBAT 1 1 null
£ NIGHTSTICK MELEE 10.0 1.6 334 -1 1 BBALLBAT 1 1 null
£ KNIFE MELEE 10.0 1.6 335 -1 1 KNIFE 1 1 stealth_kn
£ BASEBALLBAT MELEE 10.0 1.6 336 -1 1 BBALLBAT 1 1 null
£ SHOVEL MELEE 10.0 1.6 337 -1 1 BBALLBAT 1 1 null
£ POOLCUE MELEE 10.0 1.6 338 -1 1 BBALLBAT 1 1 null
£ KATANA MELEE 10.0 1.6 339 -1 1 SWORD 1 1 null
£ CHAINSAW MELEE 10.0 1.6 341 -1 1 CHAINSAW 1 201 null
£ DILDO1 MELEE 10.0 1.6 321 -1 10 DILDO 1 1 null
£ DILDO2 MELEE 10.0 1.6 322 -1 10 KNIFE 1 1 null
£ VIBE1 MELEE 10.0 1.6 323 -1 10 DILDO 1 1 null
£ VIBE2 MELEE 10.0 1.6 324 -1 10 KNIFE 1 1 null
£ FLOWERS MELEE 10.0 1.6 325 -1 10 FLOWERS 1 1 null
£ CANE MELEE 10.0 1.6 326 -1 10 SWORD 1 1 null
£ PARACHUTE MELEE 10.0 1.6 371 -1 11 UNARMED 1 1 null
#
# Gun data:
$ GRENADE PROJECTILE 30.0 2000.0 342 -1 8 grenade 1 275 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ TEARGAS PROJECTILE 30.0 2000.0 343 -1 8 grenade 1 175 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ MOLOTOV PROJECTILE 30.0 2000.0 344 -1 8 grenade 1 75 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ ROCKET PROJECTILE 30.0 2000.0 345 -1 8 null 1 175 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ ROCKET_HS PROJECTILE 30.0 2000.0 345 -1 8 null 1 275 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ FREEFALL_BOMB PROJECTILE 30.0 2000.0 345 -1 8 null 1 375 0.0 0.0 0.0 1 0 1.0 1.0 0 2 1 0 2 1 99 100 0.05 0.5 1000.0 0.01
$ PISTOL INSTANT_HIT 25.0 2000.0 346 -1 2 colt45 17 23 0.25 0.05 0.09 0 0 0.12 2.3 0 96 1 0 96 1 12 3033 0.05 0.5 1000.0 0.01
$ PISTOL INSTANT_HIT 30.0 2000.0 346 -1 2 colt45 34 24 0.25 0.05 0.09 1 40 0.25 2.4 0 48 1 0 48 1 12 3033 0.05 0.5 1000.0 0.01
$ PISTOL INSTANT_HIT 35.0 2000.0 346 -1 2 colt45pro 68 25 0.25 0.05 0.09 2 999 0.5 2.5 0 24 1 0 24 1 12 3833 0.05 0.5 1000.0 0.01
$ PISTOL INSTANT_HIT 30.0 2000.0 346 -1 2 colt_cop 136 26 0.25 0.05 0.09 3 5000 1.0 2.6 0 12 1 0 12 1 12 7031 0.05 0.5 1000.0 0.01
